@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2}

@data
194,'2024/10/30 14:13:09:645',1,492,231,1
195,'2024/10/30 14:13:09:662',1,492,233,1
196,'2024/10/30 14:13:09:678',1,493,235,1
197,'2024/10/30 14:13:09:694',1,493,237,1
198,'2024/10/30 14:13:09:711',1,494,241,1
199,'2024/10/30 14:13:09:728',1,494,244,1
200,'2024/10/30 14:13:09:745',1,495,250,1
201,'2024/10/30 14:13:09:762',1,496,254,1
202,'2024/10/30 14:13:09:778',1,496,263,1
203,'2024/10/30 14:13:09:795',1,497,265,1
204,'2024/10/30 14:13:09:811',1,498,276,1
205,'2024/10/30 14:13:09:828',1,499,282,1
206,'2024/10/30 14:13:09:845',1,500,291,1
207,'2024/10/30 14:13:09:861',1,501,296,1
208,'2024/10/30 14:13:09:878',1,503,304,1
209,'2024/10/30 14:13:09:894',1,503,306,1
210,'2024/10/30 14:13:09:911',1,504,310,1
211,'2024/10/30 14:13:09:929',1,505,312,1
212,'2024/10/30 14:13:09:944',1,505,315,1
213,'2024/10/30 14:13:09:961',1,506,317,1
214,'2024/10/30 14:13:09:979',1,506,318,1
215,'2024/10/30 14:13:09:995',1,507,323,1
216,'2024/10/30 14:13:10:011',1,507,326,1
217,'2024/10/30 14:13:10:028',1,511,340,1
218,'2024/10/30 14:13:10:045',1,517,356,1
219,'2024/10/30 14:13:10:062',1,518,359,1
220,'2024/10/30 14:13:10:078',1,519,364,1
221,'2024/10/30 14:13:10:095',1,520,366,1
222,'2024/10/30 14:13:10:111',1,520,366,1
223,'2024/10/30 14:13:10:128',1,520,367,1
224,'2024/10/30 14:13:10:145',1,520,368,1
225,'2024/10/30 14:13:10:162',1,520,372,1
226,'2024/10/30 14:13:10:178',1,520,376,1
227,'2024/10/30 14:13:10:195',1,519,383,1
228,'2024/10/30 14:13:10:212',1,519,388,1
229,'2024/10/30 14:13:10:228',1,518,392,1
230,'2024/10/30 14:13:10:245',1,518,397,1
231,'2024/10/30 14:13:10:261',1,516,405,1
232,'2024/10/30 14:13:10:278',1,516,407,1
233,'2024/10/30 14:13:10:295',1,515,411,1
234,'2024/10/30 14:13:10:312',1,515,412,1
235,'2024/10/30 14:13:10:328',1,514,414,1
236,'2024/10/30 14:13:10:345',1,514,415,1
237,'2024/10/30 14:13:10:361',1,514,416,1
238,'2024/10/30 14:13:10:378',1,513,417,1
239,'2024/10/30 14:13:10:395',1,513,417,1
240,'2024/10/30 14:13:10:412',1,513,418,1
241,'2024/10/30 14:13:10:428',1,513,419,1
242,'2024/10/30 14:13:10:445',1,513,419,1
243,'2024/10/30 14:13:10:462',1,513,420,1
244,'2024/10/30 14:13:10:479',1,513,420,1
245,'2024/10/30 14:13:10:495',1,513,420,1
246,'2024/10/30 14:13:10:512',1,513,420,1
247,'2024/10/30 14:13:10:529',1,513,420,1
248,'2024/10/30 14:13:10:545',1,513,419,1
249,'2024/10/30 14:13:10:562',1,513,417,1
250,'2024/10/30 14:13:10:578',1,517,403,1
251,'2024/10/30 14:13:10:595',1,518,393,1
252,'2024/10/30 14:13:10:612',1,520,379,1
253,'2024/10/30 14:13:10:628',1,521,366,1
254,'2024/10/30 14:13:10:645',1,521,347,1
255,'2024/10/30 14:13:10:661',1,521,344,1
256,'2024/10/30 14:13:10:678',1,519,334,1
257,'2024/10/30 14:13:10:695',1,518,330,1
258,'2024/10/30 14:13:10:711',1,517,326,1
259,'2024/10/30 14:13:10:729',1,517,325,1
260,'2024/10/30 14:13:10:745',1,514,320,1
261,'2024/10/30 14:13:10:762',1,513,319,1
262,'2024/10/30 14:13:10:778',1,511,313,1
263,'2024/10/30 14:13:10:795',1,510,308,1
264,'2024/10/30 14:13:10:812',1,509,300,1
265,'2024/10/30 14:13:10:828',1,509,300,1
266,'2024/10/30 14:13:10:846',1,507,283,1
267,'2024/10/30 14:13:10:862',1,507,278,1
268,'2024/10/30 14:13:10:878',1,507,261,1
269,'2024/10/30 14:13:10:895',1,507,252,1
270,'2024/10/30 14:13:10:912',1,507,236,1
271,'2024/10/30 14:13:10:928',1,507,233,1
272,'2024/10/30 14:13:10:945',1,507,230,1
273,'2024/10/30 14:13:10:962',1,507,228,1
274,'2024/10/30 14:13:10:979',1,507,227,1
275,'2024/10/30 14:13:10:995',1,507,226,1
276,'2024/10/30 14:13:11:012',1,507,223,1
277,'2024/10/30 14:13:11:028',1,507,218,1
278,'2024/10/30 14:13:11:045',1,507,216,1
279,'2024/10/30 14:13:11:062',1,508,210,1
280,'2024/10/30 14:13:11:079',1,508,208,1
281,'2024/10/30 14:13:11:095',1,508,205,1
282,'2024/10/30 14:13:11:111',1,508,204,1
283,'2024/10/30 14:13:11:128',1,509,199,1
284,'2024/10/30 14:13:11:144',1,509,198,1
285,'2024/10/30 14:13:11:162',1,510,192,1
286,'2024/10/30 14:13:11:178',1,510,189,1
287,'2024/10/30 14:13:11:195',1,511,186,1
288,'2024/10/30 14:13:11:212',1,511,184,1
289,'2024/10/30 14:13:11:229',1,511,182,1
290,'2024/10/30 14:13:11:245',1,511,181,1
291,'2024/10/30 14:13:11:262',1,511,180,1
292,'2024/10/30 14:13:11:278',1,511,180,1
293,'2024/10/30 14:13:11:295',1,511,176,1
294,'2024/10/30 14:13:11:311',1,511,175,1
295,'2024/10/30 14:13:11:328',1,511,168,1
296,'2024/10/30 14:13:11:344',1,509,164,1
297,'2024/10/30 14:13:11:362',1,509,162,1
298,'2024/10/30 14:13:11:378',1,505,157,1
299,'2024/10/30 14:13:11:395',1,504,156,1
300,'2024/10/30 14:13:11:411',1,504,153,1
301,'2024/10/30 14:13:11:428',1,504,151,1
302,'2024/10/30 14:13:11:445',1,503,147,1
303,'2024/10/30 14:13:11:461',1,502,145,1
304,'2024/10/30 14:13:11:478',1,502,144,1
